no;id;female;race;ses;schtyp;prog;read;write;math;science;socst;honcomp
1;70;0;4;1;1;1;57;52;41;47;57;0
2;121;1;4;2;1;3;68;59;53;63;61;0
3;86;0;4;3;1;1;44;33;54;58;31;0
4;141;0;4;3;1;3;63;44;47;53;56;0
5;172;0;4;2;1;2;47;52;57;53;61;0
6;113;0;4;2;1;2;44;52;51;63;61;0
7;50;0;3;2;1;1;50;59;42;53;61;0
8;11;0;1;2;1;2;34;46;45;39;36;0
9;84;0;4;2;1;1;63;57;54;58;51;0
10;48;0;3;2;1;2;57;55;52;50;51;0
11;75;0;4;2;1;3;60;46;51;53;61;0
12;60;0;4;2;1;2;57;65;51;63;61;1
13;95;0;4;3;1;2;73;60;71;61;71;1
14;104;0;4;3;1;2;54;63;57;55;46;1
15;38;0;3;1;1;2;45;57;50;31;56;0
16;115;0;4;1;1;1;42;49;43;50;56;0
17;76;0;4;3;1;2;47;52;51;50;56;0
18;195;0;4;2;2;1;57;57;60;58;56;0
19;114;0;4;3;1;2;68;65;62;55;61;1
20;85;0;4;2;1;1;55;39;57;53;46;0
21;167;0;4;2;1;1;63;49;35;66;41;0
22;143;0;4;2;1;3;63;63;75;72;66;1
23;41;0;3;2;1;2;50;40;45;55;56;0
24;20;0;1;3;1;2;60;52;57;61;61;0
25;12;0;1;2;1;3;37;44;45;39;46;0
26;53;0;3;2;1;3;34;37;46;39;31;0
27;154;0;4;3;1;2;65;65;66;61;66;1
28;178;0;4;2;2;3;47;57;57;58;46;0
29;196;0;4;3;2;2;44;38;49;39;46;0
30;29;0;2;1;1;1;52;44;49;55;41;0
31;126;0;4;2;1;1;42;31;57;47;51;0
32;103;0;4;3;1;2;76;52;64;64;61;0
33;192;0;4;3;2;2;65;67;63;66;71;1
34;150;0;4;2;1;3;42;41;57;72;31;0
35;199;0;4;3;2;2;52;59;50;61;61;0
36;144;0;4;3;1;1;60;65;58;61;66;1
37;200;0;4;2;2;2;68;54;75;66;66;0
38;80;0;4;3;1;2;65;62;68;66;66;1
39;16;0;1;1;1;3;47;31;44;36;36;0
40;153;0;4;2;1;3;39;31;40;39;51;0
41;176;0;4;2;2;2;47;47;41;42;51;0
42;177;0;4;2;2;2;55;59;62;58;51;0
43;168;0;4;2;1;2;52;54;57;55;51;0
44;40;0;3;1;1;1;42;41;43;50;41;0
45;62;0;4;3;1;1;65;65;48;63;66;1
46;169;0;4;1;1;1;55;59;63;69;46;0
47;49;0;3;3;1;3;50;40;39;49;47;0
48;136;0;4;2;1;2;65;59;70;63;51;0
49;189;0;4;2;2;2;47;59;63;53;46;0
50;7;0;1;2;1;2;57;54;59;47;51;0
51;27;0;2;2;1;2;53;61;61;57;56;1
52;128;0;4;3;1;2;39;33;38;47;41;0
53;21;0;1;2;1;1;44;44;61;50;46;0
54;183;0;4;2;2;2;63;59;49;55;71;0
55;132;0;4;2;1;2;73;62;73;69;66;1
56;15;0;1;3;1;3;39;39;44;26;42;0
57;67;0;4;1;1;3;37;37;42;33;32;0
58;22;0;1;2;1;3;42;39;39;56;46;0
59;185;0;4;2;2;2;63;57;55;58;41;0
60;9;0;1;2;1;3;48;49;52;44;51;0
61;181;0;4;2;2;2;50;46;45;58;61;0
62;170;0;4;3;1;2;47;62;61;69;66;1
63;134;0;4;1;1;1;44;44;39;34;46;0
64;108;0;4;2;1;1;34;33;41;36;36;0
65;197;0;4;3;2;2;50;42;50;36;61;0
66;140;0;4;2;1;3;44;41;40;50;26;0
67;171;0;4;2;1;2;60;54;60;55;66;0
68;107;0;4;1;1;3;47;39;47;42;26;0
69;81;0;4;1;1;2;63;43;59;65;44;0
70;18;0;1;2;1;3;50;33;49;44;36;0
71;155;0;4;2;1;1;44;44;46;39;51;0
72;97;0;4;3;1;2;60;54;58;58;61;0
73;68;0;4;2;1;2;73;67;71;63;66;1
74;157;0;4;2;1;1;68;59;58;74;66;0
75;56;0;4;2;1;3;55;45;46;58;51;0
76;5;0;1;1;1;2;47;40;43;45;31;0
77;159;0;4;3;1;2;55;61;54;49;61;1
78;123;0;4;3;1;1;68;59;56;63;66;0
79;164;0;4;2;1;3;31;36;46;39;46;0
80;14;0;1;3;1;2;47;41;54;42;56;0
81;127;0;4;3;1;2;63;59;57;55;56;0
82;165;0;4;1;1;3;36;49;54;61;36;0
83;174;0;4;2;2;2;68;59;71;66;56;0
84;3;0;1;1;1;2;63;65;48;63;56;1
85;58;0;4;2;1;3;55;41;40;44;41;0
86;146;0;4;3;1;2;55;62;64;63;66;1
87;102;0;4;3;1;2;52;41;51;53;56;0
88;117;0;4;3;1;3;34;49;39;42;56;0
89;133;0;4;2;1;3;50;31;40;34;31;0
90;94;0;4;3;1;2;55;49;61;61;56;0
91;24;0;2;2;1;2;52;62;66;47;46;1
92;149;0;4;1;1;1;63;49;49;66;46;0
93;82;1;4;3;1;2;68;62;65;69;61;1
94;8;1;1;1;1;2;39;44;52;44;48;0
95;129;1;4;1;1;1;44;44;46;47;51;0
96;173;1;4;1;1;1;50;62;61;63;51;1
97;57;1;4;2;1;2;71;65;72;66;56;1
98;100;1;4;3;1;2;63;65;71;69;71;1
99;1;1;1;1;1;3;34;44;40;39;41;0
100;194;1;4;3;2;2;63;63;69;61;61;1
101;88;1;4;3;1;2;68;60;64;69;66;1
102;99;1;4;3;1;1;47;59;56;66;61;0
103;47;1;3;1;1;2;47;46;49;33;41;0
104;120;1;4;3;1;2;63;52;54;50;51;0
105;166;1;4;2;1;2;52;59;53;61;51;0
106;65;1;4;2;1;2;55;54;66;42;56;0
107;101;1;4;3;1;2;60;62;67;50;56;1
108;89;1;4;1;1;3;35;35;40;51;33;0
109;54;1;3;1;2;1;47;54;46;50;56;0
110;180;1;4;3;2;2;71;65;69;58;71;1
111;162;1;4;2;1;3;57;52;40;61;56;0
112;4;1;1;1;1;2;44;50;41;39;51;0
113;131;1;4;3;1;2;65;59;57;46;66;0
114;125;1;4;1;1;2;68;65;58;59;56;1
115;34;1;1;3;2;2;73;61;57;55;66;1
116;106;1;4;2;1;3;36;44;37;42;41;0
117;130;1;4;3;1;1;43;54;55;55;46;0
118;93;1;4;3;1;2;73;67;62;58;66;1
119;163;1;4;1;1;2;52;57;64;58;56;0
120;37;1;3;1;1;3;41;47;40;39;51;0
121;35;1;1;1;2;1;60;54;50;50;51;0
122;87;1;4;2;1;1;50;52;46;50;56;0
123;73;1;4;2;1;2;50;52;53;39;56;0
124;151;1;4;2;1;3;47;46;52;48;46;0
125;44;1;3;1;1;3;47;62;45;34;46;1
126;152;1;4;3;1;2;55;57;56;58;61;0
127;105;1;4;2;1;2;50;41;45;44;56;0
128;28;1;2;2;1;1;39;53;54;50;41;0
129;91;1;4;3;1;3;50;49;56;47;46;0
130;45;1;3;1;1;3;34;35;41;29;26;0
131;116;1;4;2;1;2;57;59;54;50;56;0
132;33;1;2;1;1;2;57;65;72;54;56;1
133;66;1;4;2;1;3;68;62;56;50;51;1
134;72;1;4;2;1;3;42;54;47;47;46;0
135;77;1;4;1;1;2;61;59;49;44;66;0
136;61;1;4;3;1;2;76;63;60;67;66;1
137;190;1;4;2;2;2;47;59;54;58;46;0
138;42;1;3;2;1;3;46;52;55;44;56;0
139;2;1;1;2;1;3;39;41;33;42;41;0
140;55;1;3;2;2;2;52;49;49;44;61;0
141;19;1;1;1;1;1;28;46;43;44;51;0
142;90;1;4;3;1;2;42;54;50;50;52;0
143;142;1;4;2;1;3;47;42;52;39;51;0
144;17;1;1;2;1;2;47;57;48;44;41;0
145;122;1;4;2;1;2;52;59;58;53;66;0
146;191;1;4;3;2;2;47;52;43;48;61;0
147;83;1;4;2;1;3;50;62;41;55;31;1
148;182;1;4;2;2;2;44;52;43;44;51;0
149;6;1;1;1;1;2;47;41;46;40;41;0
150;46;1;3;1;1;2;45;55;44;34;41;0
151;43;1;3;1;1;2;47;37;43;42;46;0
152;96;1;4;3;1;2;65;54;61;58;56;0
153;138;1;4;2;1;3;43;57;40;50;51;0
154;10;1;1;2;1;1;47;54;49;53;61;0
155;71;1;4;2;1;1;57;62;56;58;66;1
156;139;1;4;2;1;2;68;59;61;55;71;0
157;110;1;4;2;1;3;52;55;50;54;61;0
158;148;1;4;2;1;3;42;57;51;47;61;0
159;109;1;4;2;1;1;42;39;42;42;41;0
160;39;1;3;3;1;2;66;67;67;61;66;1
161;147;1;4;1;1;2;47;62;53;53;61;1
162;74;1;4;2;1;2;57;50;50;51;58;0
163;198;1;4;3;2;2;47;61;51;63;31;1
164;161;1;4;1;1;2;57;62;72;61;61;1
165;112;1;4;2;1;2;52;59;48;55;61;0
166;69;1;4;1;1;3;44;44;40;40;31;0
167;156;1;4;2;1;2;50;59;53;61;61;0
168;111;1;4;1;1;1;39;54;39;47;36;0
169;186;1;4;2;2;2;57;62;63;55;41;1
170;98;1;4;1;1;3;57;60;51;53;37;1
171;119;1;4;1;1;1;42;57;45;50;43;0
172;13;1;1;2;1;3;47;46;39;47;61;0
173;51;1;3;3;1;1;42;36;42;31;39;0
174;26;1;2;3;1;2;60;59;62;61;51;0
175;36;1;3;1;1;1;44;49;44;35;51;0
176;135;1;4;1;1;2;63;60;65;54;66;1
177;59;1;4;2;1;2;65;67;63;55;71;1
178;78;1;4;2;1;2;39;54;54;53;41;0
179;64;1;4;3;1;3;50;52;45;58;36;0
180;63;1;4;1;1;1;52;65;60;56;51;1
181;79;1;4;2;1;2;60;62;49;50;51;1
182;193;1;4;2;2;2;44;49;48;39;51;0
183;92;1;4;3;1;1;52;67;57;63;61;1
184;160;1;4;2;1;2;55;65;55;50;61;1
185;32;1;2;3;1;3;50;67;66;66;56;1
186;23;1;2;1;1;2;65;65;64;58;71;1
187;158;1;4;2;1;1;52;54;55;53;51;0
188;25;1;2;2;1;1;47;44;42;42;36;0
189;188;1;4;3;2;2;63;62;56;55;61;1
190;52;1;3;1;1;2;50;46;53;53;66;0
191;124;1;4;1;1;3;42;54;41;42;41;0
192;175;1;4;3;2;1;36;57;42;50;41;0
193;184;1;4;2;2;3;50;52;53;55;56;0
194;30;1;2;3;1;2;41;59;42;34;51;0
195;179;1;4;2;2;2;47;65;60;50;56;1
196;31;1;2;2;2;1;55;59;52;42;56;0
197;145;1;4;2;1;3;42;46;38;36;46;0
198;187;1;4;2;2;1;57;41;57;55;52;0
199;118;1;4;2;1;1;55;62;58;58;61;1
200;137;1;4;3;1;2;63;65;65;53;61;1
